title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,country
"m 6.9 - 107 km se of amahai, indonesia",6.9,2015-09-12 10:21:00,8,5,green,0,738,us,0,2.979,14.0,mww,21.0,-4.1064,129.508,"amahai, indonesia",indonesia
"m 7.2 - 104 km w of murghob, tajikistan",7.2,2015-07-12 07:50:00,4,7,green,0,827,us,0,1.116,18.0,mww,22.0,38.2107,72.7797,"murghob, tajikistan",tajikistan
"m 6.7 - 125 km ssw of tarauacá, brazil",6.7,2015-11-26 05:45:00,2,3,green,0,691,us,0,2.033,19.0,mww,602.75,-9.1825,-71.2574,"tarauacá, brazil",brazil
"m 7.6 - 185 km wnw of iñapari, peru",7.6,2015-11-24 22:50:00,5,4,green,0,896,us,0,2.852,10.0,mww,620.56,-10.0598,-71.0184,"iñapari, peru",peru
"m 7.6 - 155 km wnw of iñapari, peru",7.6,2015-11-24 22:45:00,6,5,green,1,957,us,0,3.287,10.0,mww,606.21,-10.5372,-70.9437,"iñapari, peru",peru
"m 6.8 - 153 km wsw of buala, solomon islands",6.8,2015-11-18 18:31:00,5,6,green,1,715,us,0,1.599,19.0,mww,12.59,-8.8994,158.422,"buala, solomon islands",solomon islands
"m 6.5 - 19 km ssw of lefkáda, greece",6.5,2015-11-17 07:10:00,7,7,orange,0,1018,us,0,0.0,0.0,mww,11.0,38.67,20.6,"lefkáda, greece",greece
"m 6.7 - 140 km wsw of makurazaki, japan",6.7,2015-11-13 20:51:00,5,4,green,0,702,us,0,1.444,17.0,mww,12.0,31.0009,128.873,"makurazaki, japan",unknown
"m 6.9 - 85 km nw of coquimbo, chile",6.9,2015-11-11 02:46:00,5,6,green,0,744,us,0,0.821,43.0,mww,10.0,-29.5097,-72.0585,"coquimbo, chile",unknown
"m 6.9 - 81 km nw of coquimbo, chile",6.9,2015-11-11 01:54:00,6,6,green,1,761,us,0,0.784,32.0,mww,12.0,-29.5067,-72.0068,"coquimbo, chile",unknown
"m 6.6 - nicobar islands, india region",6.6,2015-08-11 16:47:00,7,4,green,0,675,us,0,2.792,31.0,mww,10.0,6.8431,94.648,"nicobar islands, india region",unknown
"m 6.8 - 39 km sw of ovalle, chile",6.8,2015-07-11 07:31:00,7,7,green,1,841,us,0,0.258,41.0,mww,46.0,-30.8796,-71.4519,"ovalle, chile",chile
"m 6.5 - 47 km nw of maubara, timor leste",6.5,2015-04-11 03:44:00,5,7,green,0,657,us,0,1.53,21.0,mww,20.0,-8.3381,124.875,"maubara, timor leste",indonesia
